# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/00_rawdata/fastq_data/reference/NZ_CP076404.1.gtf" "-o" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/03_annotation/counts/raw_counts.txt" "-T" "8" "-p" "-B" "-t" "CDS" "-g" "gene_id" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613403.bam" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613404.bam" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613405.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613403.bam	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613404.bam	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613405.bam
KJY95_RS05105	NZ_CP076404.1	1069000	1071015	-	2016	418	522	385
KJY95_RS05110	NZ_CP076404.1	1071027	1073447	-	2421	914	1399	1297
KJY95_RS05115	NZ_CP076404.1	1074034	1075389	+	1356	1692	1784	1640
KJY95_RS05120	NZ_CP076404.1;NZ_CP076404.1	1075436;1076334	1076334;1076595	-;-	1160	209	162	134
KJY95_RS05125	NZ_CP076404.1	1076648	1077001	+	354	49	31	42
KJY95_RS05130	NZ_CP076404.1	1077001	1077984	+	984	211	262	213
KJY95_RS05155	NZ_CP076404.1	1079225	1080160	+	936	1420	1620	1376
KJY95_RS05160	NZ_CP076404.1	1080218	1080952	+	735	1232	1543	1395
KJY95_RS05165	NZ_CP076404.1	1080979	1081530	+	552	919	1135	832
KJY95_RS05170	NZ_CP076404.1	1081635	1082123	+	489	2093	3443	3521
KJY95_RS05175	NZ_CP076404.1	1082193	1083023	-	831	890	1317	1216
KJY95_RS05180	NZ_CP076404.1	1083053	1083466	-	414	117	181	146
KJY95_RS05185	NZ_CP076404.1	1083494	1083880	-	387	151	127	143
KJY95_RS05190	NZ_CP076404.1	1083888	1084535	-	648	387	444	447
KJY95_RS05195	NZ_CP076404.1	1085290	1085742	+	453	41	57	35
KJY95_RS05200	NZ_CP076404.1	1085786	1086238	+	453	99	103	80
KJY95_RS05205	NZ_CP076404.1	1086300	1086629	+	330	143	199	250
KJY95_RS05210	NZ_CP076404.1	1086753	1087070	+	318	211	277	346
KJY95_RS05215	NZ_CP076404.1;NZ_CP076404.1	1087102;1087351	1087351;1087796	+;+	695	90	57	50
KJY95_RS05220	NZ_CP076404.1	1087936	1088466	+	531	136	181	166
KJY95_RS05225	NZ_CP076404.1	1088411	1089889	+	1479	536	625	498
KJY95_RS05230	NZ_CP076404.1	1089903	1091057	-	1155	1234	1352	1389
KJY95_RS05235	NZ_CP076404.1	1091451	1092983	+	1533	2322	2731	2667
KJY95_RS05240	NZ_CP076404.1	1092979	1095519	+	2541	2333	2714	2077
KJY95_RS05245	NZ_CP076404.1	1095695	1095919	+	225	100	126	91
KJY95_RS05250	NZ_CP076404.1	1095926	1096297	-	372	181	206	189
KJY95_RS05255	NZ_CP076404.1	1096383	1097606	-	1224	904	881	685
KJY95_RS05260	NZ_CP076404.1	1097781	1098698	-	918	3960	3973	2959
KJY95_RS05265	NZ_CP076404.1	1098923	1099972	+	1050	1416	1458	1383
KJY95_RS05270	NZ_CP076404.1	1100020	1100592	-	573	287	333	330
KJY95_RS05275	NZ_CP076404.1	1100599	1101162	-	564	264	259	208
KJY95_RS05280	NZ_CP076404.1	1101426	1101536	-	111	30	50	45
KJY95_RS05285	NZ_CP076404.1	1101587	1102702	-	1116	1421	1643	1265
KJY95_RS05290	NZ_CP076404.1	1102820	1103071	-	252	7602	10245	10168
KJY95_RS05295	NZ_CP076404.1	1103361	1103603	-	243	2754	2346	2628
KJY95_RS05300	NZ_CP076404.1	1103680	1104723	-	1044	2155	2161	1565
KJY95_RS05305	NZ_CP076404.1	1104832	1105389	-	558	888	1034	1062
KJY95_RS05310	NZ_CP076404.1	1105526	1106170	-	645	805	822	734
KJY95_RS05315	NZ_CP076404.1	1106237	1107442	-	1206	391	406	356
KJY95_RS05320	NZ_CP076404.1	1107678	1108259	+	582	470	486	543
KJY95_RS05325	NZ_CP076404.1	1108273	1108917	+	645	269	342	305
KJY95_RS05330	NZ_CP076404.1	1108922	1109842	+	921	447	436	339
KJY95_RS05335	NZ_CP076404.1	1109955	1111487	+	1533	1465	1518	1262
KJY95_RS05340	NZ_CP076404.1	1111533	1111946	-	414	554	668	642
KJY95_RS05345	NZ_CP076404.1	1111954	1112244	-	291	458	681	591
KJY95_RS05350	NZ_CP076404.1	1112323	1112979	-	657	1849	2719	2527
KJY95_RS05355	NZ_CP076404.1	1113134	1113547	+	414	2913	3736	3871
KJY95_RS05360	NZ_CP076404.1	1113554	1113955	+	402	2417	3124	2917
KJY95_RS05365	NZ_CP076404.1	1113970	1114662	+	693	5062	6260	5832
KJY95_RS05370	NZ_CP076404.1	1114690	1115895	+	1206	4368	6008	5349
KJY95_RS05375	NZ_CP076404.1	1115918	1116670	+	753	1337	1801	1458
KJY95_RS05380	NZ_CP076404.1	1116845	1117624	+	780	1334	1719	1539
KJY95_RS05385	NZ_CP076404.1	1117680	1118375	+	696	528	675	662
KJY95_RS05390	NZ_CP076404.1	1118390	1119484	+	1095	458	632	612
KJY95_RS05395	NZ_CP076404.1	1119487	1120425	+	939	337	371	360
KJY95_RS05400	NZ_CP076404.1	1120494	1122134	+	1641	352	400	451
KJY95_RS05405	NZ_CP076404.1	1122149	1123099	+	951	431	504	471
KJY95_RS05410	NZ_CP076404.1	1123301	1126483	-	3183	13573	16982	13450
KJY95_RS05415	NZ_CP076404.1	1127056	1128012	+	957	2915	3475	2658
KJY95_RS05420	NZ_CP076404.1	1128130	1128711	-	582	1528	1644	1242
KJY95_RS05425	NZ_CP076404.1	1128910	1129428	+	519	43146	47375	42036
KJY95_RS05430	NZ_CP076404.1	1129483	1129653	+	171	22040	24827	22814
KJY95_RS05435	NZ_CP076404.1	1129737	1130804	+	1068	9220	10998	7909
KJY95_RS05440	NZ_CP076404.1	1130875	1131825	+	951	6493	8053	5710
KJY95_RS05445	NZ_CP076404.1	1131844	1132770	+	927	5807	7359	5208
KJY95_RS05450	NZ_CP076404.1	1132786	1133517	+	732	7507	10016	7519
KJY95_RS05455	NZ_CP076404.1	1133731	1133964	+	234	14729	19644	15965
KJY95_RS05460	NZ_CP076404.1	1134055	1135293	+	1239	25237	29990	22510
KJY95_RS05465	NZ_CP076404.1	1135416	1136222	+	807	1296	1552	1060
KJY95_RS05470	NZ_CP076404.1	1136228	1137247	+	1020	1767	1827	1352
KJY95_RS05475	NZ_CP076404.1	1137240	1137878	+	639	705	771	597
KJY95_RS05480	NZ_CP076404.1	1137878	1138879	+	1002	1429	1342	1102
KJY95_RS05485	NZ_CP076404.1	1138893	1139687	+	795	1168	1368	1293
KJY95_RS05490	NZ_CP076404.1	1139985	1141415	+	1431	3758	6644	5872
KJY95_RS05495	NZ_CP076404.1	1141481	1143667	-	2187	709	924	770
KJY95_RS05500	NZ_CP076404.1	1144001	1144357	+	357	775	923	868
KJY95_RS05505	NZ_CP076404.1	1144363	1144737	+	375	511	566	471
KJY95_RS05510	NZ_CP076404.1	1144754	1145392	+	639	848	869	699
KJY95_RS05515	NZ_CP076404.1	1145376	1146197	+	822	415	429	325
KJY95_RS05520	NZ_CP076404.1	1146211	1147233	+	1023	845	940	769
KJY95_RS05525	NZ_CP076404.1	1147259	1147798	+	540	1106	1394	1147
KJY95_RS05530	NZ_CP076404.1	1148201	1149502	+	1302	7534	5604	2529
KJY95_RS05535	NZ_CP076404.1	1149715	1150251	+	537	1275	1149	471
KJY95_RS05540	NZ_CP076404.1	1150319	1150948	-	630	522	477	308
KJY95_RS05545	NZ_CP076404.1	1151189	1151443	+	255	1608	1195	651
KJY95_RS05550	NZ_CP076404.1	1151531	1152490	-	960	677	437	312
KJY95_RS05555	NZ_CP076404.1	1152637	1156080	-	3444	1589	1614	1342
KJY95_RS05560	NZ_CP076404.1	1156211	1157281	-	1071	108	73	125
KJY95_RS05565	NZ_CP076404.1	1157543	1158739	+	1197	1974	2027	1860
KJY95_RS05570	NZ_CP076404.1	1158735	1159433	+	699	627	713	575
KJY95_RS05575	NZ_CP076404.1	1159436	1160677	+	1242	790	919	777
KJY95_RS05580	NZ_CP076404.1	1160709	1161617	+	909	583	692	536
KJY95_RS05585	NZ_CP076404.1	1161636	1162472	+	837	453	478	479
KJY95_RS05590	NZ_CP076404.1	1162598	1163383	-	786	107	133	148
KJY95_RS05595	NZ_CP076404.1	1163383	1163841	-	459	104	115	89
KJY95_RS05600	NZ_CP076404.1	1163902	1164945	-	1044	610	684	541
KJY95_RS05605	NZ_CP076404.1	1164945	1165736	-	792	238	357	285
KJY95_RS05610	NZ_CP076404.1	1165736	1166590	-	855	371	627	420
KJY95_RS05615	NZ_CP076404.1	1166577	1167710	-	1134	4648	5248	4221
KJY95_RS05620	NZ_CP076404.1	1167960	1169183	+	1224	1206	1684	1656
KJY95_RS05625	NZ_CP076404.1	1169238	1170356	-	1119	2057	2186	1808
KJY95_RS05630	NZ_CP076404.1	1170435	1171892	-	1458	1806	1672	1430
KJY95_RS05635	NZ_CP076404.1	1171895	1172563	-	669	1496	1664	1347
KJY95_RS05640	NZ_CP076404.1	1172735	1174102	-	1368	1568	1727	1209
KJY95_RS05645	NZ_CP076404.1	1174109	1174747	-	639	2169	2011	1596
KJY95_RS05650	NZ_CP076404.1	1174786	1175889	-	1104	7718	8290	6285
KJY95_RS05655	NZ_CP076404.1	1175946	1176404	-	459	328	361	309
KJY95_RS05660	NZ_CP076404.1	1176417	1177067	-	651	621	704	521
KJY95_RS05665	NZ_CP076404.1	1177239	1178486	+	1248	16482	19956	17902
KJY95_RS05670	NZ_CP076404.1	1178986	1179648	-	663	249	335	273
KJY95_RS05675	NZ_CP076404.1	1179652	1180353	-	702	165	205	287
KJY95_RS05680	NZ_CP076404.1	1180811	1181701	+	891	322	371	401
KJY95_RS05685	NZ_CP076404.1	1181798	1182922	-	1125	255	259	327
KJY95_RS05690	NZ_CP076404.1	1182906	1183148	-	243	49	59	45
KJY95_RS05695	NZ_CP076404.1	1183188	1183496	-	309	42	57	40
KJY95_RS05700	NZ_CP076404.1	1183613	1183951	+	339	108	179	213
KJY95_RS05705	NZ_CP076404.1	1183895	1184200	-	306	174	172	136
KJY95_RS05710	NZ_CP076404.1	1184378	1185049	-	672	612	689	763
KJY95_RS05715	NZ_CP076404.1	1185140	1185337	+	198	77	84	78
KJY95_RS05720	NZ_CP076404.1	1185384	1185938	+	555	462	411	320
KJY95_RS05725	NZ_CP076404.1	1186117	1186293	+	177	19	15	22
KJY95_RS22200	NZ_CP076404.1	1186361	1186498	+	138	6	15	12
KJY95_RS05730	NZ_CP076404.1	1186517	1187650	+	1134	65	65	99
KJY95_RS05735	NZ_CP076404.1	1187665	1187844	+	180	10	14	16
KJY95_RS05740	NZ_CP076404.1	1187847	1188251	+	405	16	9	17
KJY95_RS05745	NZ_CP076404.1	1188244	1189035	+	792	54	38	39
KJY95_RS05750	NZ_CP076404.1	1189029	1189610	+	582	45	37	25
KJY95_RS22380	NZ_CP076404.1	1189617	1190127	+	511	59	47	42
KJY95_RS05765	NZ_CP076404.1	1190405	1191004	+	600	78	85	60
KJY95_RS05770	NZ_CP076404.1	1190982	1191392	-	411	41	28	57
KJY95_RS05775	NZ_CP076404.1	1191397	1191738	-	342	44	31	49
KJY95_RS05780	NZ_CP076404.1	1191801	1192352	+	552	123	101	128
KJY95_RS05785	NZ_CP076404.1	1192462	1193292	+	831	441	559	407
KJY95_RS05790	NZ_CP076404.1	1193526	1193690	+	165	111	103	90
KJY95_RS05795	NZ_CP076404.1	1193799	1194119	-	321	62	71	71
KJY95_RS05800	NZ_CP076404.1	1194379	1194420	-	42	19	18	6
KJY95_RS05805	NZ_CP076404.1	1194659	1194766	-	108	29	44	44
KJY95_RS05810	NZ_CP076404.1	1194822	1195223	-	402	202	254	247
KJY95_RS05815	NZ_CP076404.1	1195447	1196175	-	729	2694	2491	2211
KJY95_RS05820	NZ_CP076404.1	1196383	1197591	-	1209	1288	1812	1680
KJY95_RS05825	NZ_CP076404.1	1197905	1198138	+	234	334	286	327
KJY95_RS05830	NZ_CP076404.1	1198184	1198453	+	270	307	267	255
KJY95_RS05835	NZ_CP076404.1	1198485	1198748	+	264	219	220	185
KJY95_RS05840	NZ_CP076404.1	1198864	1199109	+	246	232	212	204
KJY95_RS05845	NZ_CP076404.1	1199444	1200964	+	1521	650	636	474
KJY95_RS05850	NZ_CP076404.1	1201099	1201314	+	216	95	86	74
KJY95_RS05855	NZ_CP076404.1	1201717	1204361	+	2645	599	556	592
KJY95_RS05860	NZ_CP076404.1	1204424	1204756	-	333	282	243	163
KJY95_RS05865	NZ_CP076404.1	1204763	1205104	-	342	147	131	66
KJY95_RS05870	NZ_CP076404.1	1205109	1205279	-	171	58	46	37
KJY95_RS05875	NZ_CP076404.1	1205380	1205562	+	183	13	22	19
KJY95_RS05880	NZ_CP076404.1	1205526	1205642	+	117	6	7	3
KJY95_RS05885	NZ_CP076404.1	1205680	1206020	+	341	49	64	62
KJY95_RS05890	NZ_CP076404.1	1206398	1206661	-	264	831	944	889
KJY95_RS05895	NZ_CP076404.1	1206668	1207477	-	810	2354	3155	2753
KJY95_RS05900	NZ_CP076404.1	1207504	1208196	-	693	3190	3042	2989
KJY95_RS05905	NZ_CP076404.1	1208716	1209081	+	366	225	354	241
KJY95_RS05910	NZ_CP076404.1	1209190	1209588	-	399	176	289	249
KJY95_RS05915	NZ_CP076404.1	1209830	1210120	+	291	516	658	627
KJY95_RS05920	NZ_CP076404.1	1210195	1210851	+	657	639	848	776
KJY95_RS05925	NZ_CP076404.1	1210946	1211389	+	444	640	611	474
KJY95_RS05930	NZ_CP076404.1	1211602	1212510	-	909	172	190	192
KJY95_RS05935	NZ_CP076404.1	1212883	1213299	+	417	504	533	495
KJY95_RS05940	NZ_CP076404.1	1213302	1214567	+	1266	1157	1152	941
KJY95_RS05945	NZ_CP076404.1	1214619	1215146	-	528	2206	2451	1960
KJY95_RS05950	NZ_CP076404.1	1215295	1216833	-	1539	3203	3676	2705
KJY95_RS05955	NZ_CP076404.1	1217054	1217770	+	717	1776	2422	1997
KJY95_RS05960	NZ_CP076404.1	1217828	1219357	-	1530	307	305	354
KJY95_RS05965	NZ_CP076404.1	1219687	1220982	+	1296	559	629	618
KJY95_RS05970	NZ_CP076404.1	1220995	1222062	+	1068	330	261	309
KJY95_RS05975	NZ_CP076404.1	1222454	1224187	-	1734	748	937	642
KJY95_RS05980	NZ_CP076404.1	1224285	1225196	-	912	749	612	608
KJY95_RS05985	NZ_CP076404.1	1225296	1225904	+	609	691	906	657
KJY95_RS05990	NZ_CP076404.1	1225912	1226643	-	732	245	240	235
KJY95_RS05995	NZ_CP076404.1	1226844	1227095	+	252	69	42	40
KJY95_RS06000	NZ_CP076404.1	1227276	1227713	+	438	100	77	109
KJY95_RS06005	NZ_CP076404.1	1227798	1229492	-	1695	202	243	252
KJY95_RS06010	NZ_CP076404.1	1229815	1231230	-	1416	588	692	749
KJY95_RS06015	NZ_CP076404.1	1231244	1231873	-	630	135	263	282
KJY95_RS06020	NZ_CP076404.1	1231887	1232954	-	1068	450	634	730
KJY95_RS06025	NZ_CP076404.1	1233182	1235098	+	1917	1279	1226	908
KJY95_RS06030	NZ_CP076404.1	1235204	1238068	-	2865	1507	1514	1089
KJY95_RS06035	NZ_CP076404.1	1238840	1239928	-	1089	4734	5935	5016
KJY95_RS06040	NZ_CP076404.1	1240048	1240629	-	582	1113	1318	1097
KJY95_RS06045	NZ_CP076404.1	1240907	1241182	+	276	244	311	319
KJY95_RS06050	NZ_CP076404.1	1241243	1242919	-	1677	1488	1722	1282
KJY95_RS06055	NZ_CP076404.1	1243047	1243991	-	945	8536	9589	7980
KJY95_RS06060	NZ_CP076404.1	1244145	1244993	-	849	3801	3901	3669
KJY95_RS06065	NZ_CP076404.1	1244996	1245616	-	621	802	808	620
KJY95_RS06070	NZ_CP076404.1	1245830	1247083	+	1254	5890	6023	4810
KJY95_RS06075	NZ_CP076404.1	1247128	1248207	+	1080	1763	1736	1423
KJY95_RS06080	NZ_CP076404.1	1248210	1249040	+	831	684	700	569
KJY95_RS06085	NZ_CP076404.1	1249040	1249429	+	390	407	425	361
KJY95_RS06090	NZ_CP076404.1	1249436	1250242	+	807	2596	3146	2426
KJY95_RS06095	NZ_CP076404.1	1250281	1251132	+	852	3129	3436	2732
KJY95_RS06100	NZ_CP076404.1	1251287	1251391	-	105	177	201	145
KJY95_RS06105	NZ_CP076404.1	1251822	1251926	-	105	163	201	116
KJY95_RS06110	NZ_CP076404.1	1252357	1252461	-	105	134	148	112
KJY95_RS06115	NZ_CP076404.1	1252868	1253965	-	1098	3210	2916	2566
KJY95_RS06120	NZ_CP076404.1	1254235	1254462	+	228	219	238	192
KJY95_RS06125	NZ_CP076404.1	1254623	1255315	+	693	2431	2896	2413
KJY95_RS06130	NZ_CP076404.1	1255365	1255715	-	351	757	808	669
KJY95_RS06135	NZ_CP076404.1	1255900	1257291	+	1392	754	825	569
KJY95_RS06140	NZ_CP076404.1	1257298	1257945	-	648	816	907	711
KJY95_RS06145	NZ_CP076404.1	1257941	1259734	-	1794	2756	2765	2333
KJY95_RS06150	NZ_CP076404.1	1260073	1261461	+	1389	299	566	348
KJY95_RS06155	NZ_CP076404.1	1261980	1265720	+	3741	1318	2092	1443
KJY95_RS06160	NZ_CP076404.1	1265720	1267255	+	1536	363	511	341
KJY95_RS06165	NZ_CP076404.1	1267255	1267962	+	708	142	199	124
KJY95_RS06170	NZ_CP076404.1	1267965	1268639	+	675	340	317	183
KJY95_RS06205	NZ_CP076404.1	1269901	1270740	-	840	2385	2999	2621
KJY95_RS06210	NZ_CP076404.1	1270793	1271248	-	456	1483	1811	1799
KJY95_RS06215	NZ_CP076404.1	1271361	1272263	+	903	1044	1237	1006
KJY95_RS06220	NZ_CP076404.1	1272358	1272663	+	306	256	286	197
KJY95_RS06225	NZ_CP076404.1;NZ_CP076404.1	1272722;1272971	1272971;1273416	+;+	695	94	70	52
KJY95_RS06230	NZ_CP076404.1	1273435	1274145	+	711	217	218	157
KJY95_RS06235	NZ_CP076404.1	1274350	1275255	+	906	3968	4657	3824
KJY95_RS06240	NZ_CP076404.1	1275405	1275815	-	411	50892	56855	50580
KJY95_RS06245	NZ_CP076404.1	1276420	1277034	+	615	813	975	1004
KJY95_RS06250	NZ_CP076404.1	1277322	1278215	-	894	987	1062	752
KJY95_RS06255	NZ_CP076404.1	1278342	1281014	-	2673	3071	4287	3731
KJY95_RS06260	NZ_CP076404.1	1281407	1281457	+	51	132	189	165
KJY95_RS06265	NZ_CP076404.1	1281491	1282135	+	645	800	1017	887
KJY95_RS06270	NZ_CP076404.1	1282299	1282592	-	294	16711	22885	22536
KJY95_RS06275	NZ_CP076404.1	1282876	1284504	+	1629	40302	41174	35398
KJY95_RS06280	NZ_CP076404.1	1284593	1285510	+	918	2279	2749	1872
KJY95_RS06285	NZ_CP076404.1	1285528	1286433	+	906	1375	1537	978
KJY95_RS06290	NZ_CP076404.1	1286448	1287458	+	1011	1261	1310	954
KJY95_RS06295	NZ_CP076404.1	1287458	1288459	+	1002	1003	1108	928
KJY95_RS06300	NZ_CP076404.1	1288518	1288844	-	327	462	481	403
KJY95_RS06305	NZ_CP076404.1	1288882	1290339	-	1458	290	260	271
KJY95_RS06310	NZ_CP076404.1	1290482	1290652	+	171	439	420	445
KJY95_RS06315	NZ_CP076404.1	1290713	1291963	-	1251	737	828	883
KJY95_RS06320	NZ_CP076404.1	1292266	1292559	-	294	321	423	398
KJY95_RS06325	NZ_CP076404.1	1292783	1293499	+	717	408	395	389
KJY95_RS06330	NZ_CP076404.1	1293545	1293940	-	396	723	830	851
KJY95_RS06335	NZ_CP076404.1	1294048	1294584	-	537	1013	1459	1198
KJY95_RS06340	NZ_CP076404.1	1294617	1295357	-	741	1267	1672	1539
KJY95_RS06345	NZ_CP076404.1	1295388	1295474	-	87	9	13	7
KJY95_RS06350	NZ_CP076404.1	1295714	1296349	+	636	737	1687	1153
KJY95_RS06355	NZ_CP076404.1	1296415	1296918	-	504	381	609	644
KJY95_RS06360	NZ_CP076404.1	1296967	1297464	-	498	114	151	101
KJY95_RS06365	NZ_CP076404.1	1297553	1297729	-	177	12	15	23
KJY95_RS06370	NZ_CP076404.1	1298113	1298916	-	804	450	452	482
KJY95_RS06375	NZ_CP076404.1	1298919	1300109	-	1191	470	458	382
KJY95_RS06380	NZ_CP076404.1	1300124	1301482	-	1359	768	792	627
KJY95_RS06385	NZ_CP076404.1	1301486	1303078	-	1593	636	536	486
KJY95_RS06390	NZ_CP076404.1	1303081	1304640	-	1560	281	230	185
KJY95_RS06395	NZ_CP076404.1	1304735	1304776	-	42	17	20	21
KJY95_RS06400	NZ_CP076404.1	1304914	1305792	+	879	776	763	729
KJY95_RS06405	NZ_CP076404.1	1305792	1306409	+	618	729	969	812
KJY95_RS06410	NZ_CP076404.1	1306440	1308332	+	1893	619	778	581
KJY95_RS06415	NZ_CP076404.1	1308546	1309418	+	873	6675	7980	5924
KJY95_RS06420	NZ_CP076404.1	1309464	1310051	-	588	748	813	595
KJY95_RS06425	NZ_CP076404.1	1310051	1310806	-	756	545	688	574
KJY95_RS06430	NZ_CP076404.1	1311026	1312072	+	1047	1516	1898	1459
KJY95_RS06435	NZ_CP076404.1	1312114	1312362	-	249	1492	1681	1708
KJY95_RS06440	NZ_CP076404.1	1312742	1315336	+	2595	28493	31000	25209
KJY95_RS06445	NZ_CP076404.1	1315549	1316520	+	972	4629	4499	4013
KJY95_RS06450	NZ_CP076404.1	1316842	1316979	+	138	276	318	272
KJY95_RS06455	NZ_CP076404.1	1316985	1317149	+	165	355	405	394
KJY95_RS06460	NZ_CP076404.1	1317266	1317358	+	93	250	248	242
KJY95_RS06465	NZ_CP076404.1	1317525	1320197	+	2673	2273	2373	2065
KJY95_RS06470	NZ_CP076404.1	1320267	1320854	-	588	1572	2036	1711
KJY95_RS06475	NZ_CP076404.1	1321024	1321785	+	762	622	774	621
KJY95_RS06480	NZ_CP076404.1	1321937	1322242	+	306	942	1155	816
KJY95_RS06485	NZ_CP076404.1	1322252	1323418	+	1167	2208	2382	1924
KJY95_RS06490	NZ_CP076404.1	1323615	1324349	+	735	2370	2254	1536
KJY95_RS06495	NZ_CP076404.1	1324352	1324675	+	324	377	380	324
KJY95_RS06500	NZ_CP076404.1	1324807	1325022	-	216	250	198	188
KJY95_RS06505	NZ_CP076404.1	1325294	1326040	-	747	982	998	932
KJY95_RS06510	NZ_CP076404.1	1326133	1326303	-	171	234	193	205
KJY95_RS06515	NZ_CP076404.1	1326341	1326466	+	126	31	28	35
KJY95_RS06520	NZ_CP076404.1	1326454	1328436	-	1983	736	757	677
KJY95_RS06525	NZ_CP076404.1	1328490	1328591	+	102	30	31	33
KJY95_RS06530	NZ_CP076404.1	1328675	1330606	-	1932	4292	4329	3812
KJY95_RS06535	NZ_CP076404.1	1330677	1331801	-	1125	720	589	544
KJY95_RS06540	NZ_CP076404.1	1331948	1332733	-	786	7688	8968	7414
KJY95_RS06545	NZ_CP076404.1	1333104	1333454	-	351	74	116	69
KJY95_RS06550	NZ_CP076404.1	1333525	1334328	-	804	259	237	241
KJY95_RS06555	NZ_CP076404.1	1334333	1335322	-	990	279	342	310
KJY95_RS06560	NZ_CP076404.1	1335325	1336212	-	888	252	233	189
KJY95_RS06565	NZ_CP076404.1	1336202	1337164	-	963	375	414	365
KJY95_RS06570	NZ_CP076404.1	1337164	1338804	-	1641	1641	1646	1367
KJY95_RS06575	NZ_CP076404.1	1339120	1339362	-	243	320	413	332
KJY95_RS06580	NZ_CP076404.1	1339499	1340881	-	1383	706	550	406
KJY95_RS06585	NZ_CP076404.1	1340874	1341035	-	162	256	174	122
KJY95_RS06590	NZ_CP076404.1	1341187	1342602	-	1416	4976	3593	3027
KJY95_RS06595	NZ_CP076404.1	1342814	1343575	+	762	3051	2453	2493
KJY95_RS06600	NZ_CP076404.1	1343605	1344159	+	555	1680	1194	1046
KJY95_RS06605	NZ_CP076404.1	1344437	1345921	+	1485	1697	1058	674
KJY95_RS06610	NZ_CP076404.1	1345926	1347203	+	1278	439	384	191
KJY95_RS06615	NZ_CP076404.1	1347244	1348506	+	1263	504	492	338
KJY95_RS06620	NZ_CP076404.1	1348632	1349606	-	975	797	702	529
KJY95_RS06625	NZ_CP076404.1	1349773	1350438	+	666	1967	2082	2961
KJY95_RS06630	NZ_CP076404.1	1350495	1350716	+	222	232	260	305
KJY95_RS06635	NZ_CP076404.1	1350719	1351075	+	357	293	331	365
KJY95_RS06640	NZ_CP076404.1	1351087	1351305	+	219	165	193	201
KJY95_RS06645	NZ_CP076404.1	1351383	1351694	+	312	417	446	552
KJY95_RS06650	NZ_CP076404.1	1351910	1353586	+	1677	220	267	297
KJY95_RS06655	NZ_CP076404.1	1353603	1354892	+	1290	53	51	79
KJY95_RS06660	NZ_CP076404.1	1354916	1355794	+	879	27	33	35
KJY95_RS06665	NZ_CP076404.1	1355784	1356623	+	840	46	40	36
KJY95_RS06670	NZ_CP076404.1	1356657	1357706	+	1050	49	55	55
KJY95_RS06675	NZ_CP076404.1	1357728	1358513	+	786	45	50	69
KJY95_RS06680	NZ_CP076404.1	1358526	1359578	+	1053	110	121	123
KJY95_RS06685	NZ_CP076404.1	1359578	1361842	+	2265	168	187	138
KJY95_RS06690	NZ_CP076404.1	1361842	1362498	+	657	32	39	48
KJY95_RS06695	NZ_CP076404.1	1362515	1363593	+	1079	50	37	55
KJY95_RS06700	NZ_CP076404.1	1363641	1364543	+	903	159	169	157
KJY95_RS06705	NZ_CP076404.1	1364660	1365655	-	996	588	513	384
KJY95_RS06710	NZ_CP076404.1	1365811	1367205	+	1395	198	235	197
KJY95_RS06715	NZ_CP076404.1	1367205	1368263	+	1059	124	131	159
KJY95_RS06720	NZ_CP076404.1	1368414	1369952	+	1539	2868	3470	2735
KJY95_RS06725	NZ_CP076404.1	1370002	1370505	-	504	7912	9827	9471
KJY95_RS06730	NZ_CP076404.1	1370624	1371586	+	963	811	830	602
KJY95_RS06735	NZ_CP076404.1	1371567	1372292	-	726	650	648	503
KJY95_RS06740	NZ_CP076404.1	1372422	1372556	-	135	49	60	49
KJY95_RS06745	NZ_CP076404.1	1372630	1373547	-	918	171	195	184
KJY95_RS06750	NZ_CP076404.1	1373685	1374581	+	897	506	574	609
KJY95_RS06755	NZ_CP076404.1	1374921	1376531	+	1611	2029	2160	2104
KJY95_RS06760	NZ_CP076404.1	1376588	1377616	-	1029	898	1002	784
KJY95_RS06765	NZ_CP076404.1	1377806	1378783	+	978	42	44	35
KJY95_RS06770	NZ_CP076404.1	1379059	1379313	+	255	1725	2369	2213
KJY95_RS06775	NZ_CP076404.1	1379369	1380316	-	948	3344	3961	3115
KJY95_RS06780	NZ_CP076404.1	1380471	1381220	-	750	8750	9163	8147
KJY95_RS06785	NZ_CP076404.1	1381418	1381930	-	513	441	428	383
KJY95_RS06790	NZ_CP076404.1	1381944	1383467	-	1524	245	199	208
KJY95_RS06795	NZ_CP076404.1	1383507	1384949	-	1443	375	234	245
KJY95_RS06800	NZ_CP076404.1	1384952	1386259	-	1308	387	406	274
KJY95_RS06805	NZ_CP076404.1	1386435	1387340	+	906	5534	4906	4204
